,name,party,election_districts,candidate_id,gen10,gen14,sta10,sta14,dob,link,
31,"ABRAHAMS, KEVAN",DEM,,H4NY04067,0,0,,,,,
113,"ACKERMAN, GARY L.",DEM,5,H4NY07011,1,0,I,,11/19/1942,https://ballotpedia.org/Gary_Ackerman,
43,"ALLEGRETTI, MICHAEL A",REP,,H0NY13066,,,,,,,
20,"ALTSCHULER, RANDOLPH MR.",REP,1,H0NY01129,1,0,C,,12/8/1970,https://en.wikipedia.org/wiki/Randy_Altschuler,Wikipedia
81,"ARCURI, MICHAEL A.",DEM,24,H6NY24128,1,,I,,7/11/1959,https://en.wikipedia.org/wiki/Mike_Arcuri,
37,"ASSINI, MARK W",REP,25,H4NY29098,,1,,C,7/17/1959,https://votesmart.org/candidate/biography/45015/mark-assini,
117,"BALL, GREGORY R",REP,,H0NY19121,,,,,,,
132,"BECKER, FRANCIS X. JR.",REP,4,H0NY04099,1,0,C,,6/30/1953,https://www.newsday.com/long-island/nassau/francis-x-becker-original-nassau-legislator-hospitalized-after-heart-attack-1.10499442,Article said age
53,"BERNEY, ELIZABETH",REP,,H8NY05099,0,0,,,,,
88,"BERNTSEN, GARY",REP,,H0NY01145,0,0,,,,,
82,"BISHOP, TIMOTHY",DEM,"1,1",H2NY01067,1,1,I,I,6/1/1950,https://ballotpedia.org/Tim_Bishop,
96,"BITZ, MARK WARD",REP,,H0NY25060,,,,,,,
33,"BLAKEMAN, BRUCE",REP,4,H4NY04091,0,1,,O,NA,,
115,"BLANK, ROGER",REP,,H0NY14213,,,,,,,
41,"BRUMBERG, DAVID RYAN",REP,14,H0NY14205,1,0,C,,6/30/1982,https://www.linkedin.com/in/ryanbrumberg,Started college in 2000
89,"BUERKLE, ANN MARIE",REP,25,H0NY25078,1,,C,,5/8/1951,https://ballotpedia.org/Ann_Marie_Buerkle,
121,"BURMAN, JANET BERL",REP,,H4NY24065,,,,,,,
106,"CAMPINI, ANGELO",REP,,H0NY29070,,,,,,,
77,"CLARKE, YVETTE D",DEM,"11,9",H4NY11138,1,2,,I,11/21/1964,https://ballotpedia.org/Yvette_Clarke,
